Date,IVE
2023-02-06,147.18972778320312
2023-02-07,148.6125946044922
2023-02-08,147.16143798828125
2023-02-09,145.55007934570312
2023-02-10,145.90814208984375
2023-02-13,147.77394104003906
2023-02-14,147.42529296875
2023-02-15,147.95298767089844
2023-02-16,146.20028686523438
2023-02-17,146.04006958007812
2023-02-21,142.96812438964844
2023-02-22,142.65716552734375
2023-02-23,143.01524353027344
2023-02-24,141.83737182617188
2023-02-27,142.0540771484375
2023-02-28,141.79965209960938
2023-03-01,141.14004516601562
2023-03-02,142.28968811035156
2023-03-03,144.54180908203125
2023-03-06,144.2119903564453
2023-03-07,141.87506103515625
2023-03-08,142.0258331298828
2023-03-09,139.0575408935547
2023-03-10,136.9090576171875
2023-03-13,135.89132690429688
2023-03-14,138.134033203125
2023-03-15,136.93736267089844
2023-03-16,139.18002319335938
2023-03-17,136.96563720703125
2023-03-20,138.18116760253906
2023-03-21,139.86790466308594
2023-03-22,137.06924438476562
2023-03-23,136.99822998046875
2023-03-24,138.11550903320312
2023-03-27,138.8350830078125
2023-03-28,138.8350830078125
2023-03-29,140.97496032714844
2023-03-30,141.77975463867188
2023-03-31,143.69235229492188
2023-04-03,143.7681427001953
2023-04-04,142.84024047851562
2023-04-05,142.5561981201172
2023-04-06,143.02963256835938
2023-04-10,143.3988494873047
2023-04-11,143.66397094726562
2023-04-12,143.0769500732422
2023-04-13,144.5350799560547
2023-04-14,144.34568786621094
2023-04-17,145.3777618408203
2023-04-18,145.46298217773438
2023-04-19,145.5576171875
2023-04-20,144.61082458496094
2023-04-21,144.85699462890625
2023-04-24,144.88539123535156
2023-04-25,142.48989868164062
2023-04-26,141.76083374023438
2023-04-27,144.90432739257812
2023-04-28,146.18258666992188
2023-05-01,145.955322265625
2023-05-02,144.18472290039062
2023-05-03,142.95384216308594
2023-05-04,141.817626953125
2023-05-05,144.042724609375
2023-05-08,143.9859161376953
2023-05-09,143.4651336669922
2023-05-10,143.72079467773438
2023-05-11,143.20004272460938
2023-05-12,142.86863708496094
2023-05-15,143.6450653076172
2023-05-16,142.23426818847656
2023-05-17,144.22262573242188
2023-05-18,145.46298217773438
2023-05-19,145.01797485351562
2023-05-22,145.08425903320312
2023-05-23,143.48406982421875
2023-05-24,142.2532196044922
2023-05-25,142.31002807617188
2023-05-26,144.20367431640625
2023-05-30,144.11846923828125
2023-05-31,143.44622802734375
2023-06-01,144.61082458496094
2023-06-02,147.11048889160156
2023-06-05,146.65597534179688
2023-06-06,147.47027587890625
2023-06-07,147.7600860595703
2023-06-08,148.20664978027344
2023-06-09,148.2731475830078
2023-06-12,149.3373565673828
2023-06-13,150.42054748535156
2023-06-14,150.60107421875
2023-06-15,152.65342712402344
2023-06-16,152.15933227539062
2023-06-20,151.0381622314453
2023-06-21,150.34451293945312
2023-06-22,150.1925048828125
2023-06-23,149.1378173828125
2023-06-26,149.2708282470703
2023-06-27,150.95260620117188
2023-06-28,150.81011962890625
2023-06-29,151.6367645263672
2023-06-30,153.1570281982422
2023-07-03,153.4325408935547
2023-07-05,153.2045135498047
2023-07-06,151.9123077392578
2023-07-07,151.83627319335938
2023-07-10,152.70094299316406
2023-07-11,154.25921630859375
2023-07-12,155.3614044189453
2023-07-13,156.35906982421875
2023-07-14,155.61795043945312
2023-07-17,155.71298217773438
2023-07-18,157.0526885986328
2023-07-19,157.78431701660156
2023-07-20,157.27122497558594
2023-07-21,157.27122497558594
2023-07-24,157.74630737304688
2023-07-25,157.850830078125
2023-07-26,157.9173126220703
2023-07-27,156.86265563964844
2023-07-28,158.1168975830078
2023-07-31,158.43988037109375
2023-08-01,158.0218505859375
2023-08-02,156.20701599121094
2023-08-03,155.47540283203125
2023-08-04,155.41842651367188
2023-08-07,157.13821411132812
2023-08-08,156.14051818847656
2023-08-09,155.0858154296875
2023-08-10,155.1998748779297
2023-08-11,155.11434936523438
2023-08-14,155.38040161132812
2023-08-15,153.39456176757812
2023-08-16,152.25439453125
2023-08-17,150.83860778808594
2023-08-18,150.943115234375
2023-08-21,151.12367248535156
2023-08-22,150.61056518554688
2023-08-23,152.00732421875
2023-08-24,150.27801513671875
2023-08-25,151.20916748046875
2023-08-28,152.16883850097656
2023-08-29,153.97415161132812
2023-08-30,154.24969482421875
2023-08-31,154.0121612548828
2023-09-01,154.44923400878906
2023-09-05,153.16651916503906
2023-09-06,152.8054656982422
2023-09-07,152.62493896484375
2023-09-08,152.8434600830078
2023-09-11,153.85061645507812
2023-09-12,153.32806396484375
2023-09-13,153.2615203857422
2023-09-14,154.84832763671875
2023-09-15,153.13800048828125
2023-09-18,153.0334930419922
2023-09-19,152.6439208984375
2023-09-20,151.5702362060547
2023-09-21,149.1472930908203
2023-09-22,148.59622192382812
2023-09-25,148.95729064941406
2023-09-26,146.71237182617188
2023-09-27,146.47352600097656
2023-09-28,147.2568817138672
2023-09-29,146.9607391357422
